Baseline,res_pol0,res_pol1
ea10, 0.0, 0.0 
ea01, -30.865100860595703, -14.444854736328125 
ea02, -32.15658187866211, -17.47315216064453 
ea03, -9.765625, 8.785881042480469 
ea04, -11.721931457519531, 6.832756519317627 
ea05, -5.032318592071533, 2.3125762939453125 
ea06, -25.931392669677734, -16.25165367126465 
ea11, -15.421417236328125, -9.765625 
ea18, -18.974576950073242, -20.313772201538086 
ea19, -6.094768047332764, 9.762443542480469 
ea21, -15.112861633300781, -18.27157974243164 
ea22, -27.677753448486328, -1.4123574495315552 
ea23, -47.810211181640625, -37.74875259399414 
ea26, 0.9638385772705078, -14.642075538635254 
ea27, -0.979743480682373, 7.8125 
ea28, -12.6412353515625, 1.2437652349472046 
